40 500
1 21 34
1 17 24
0 12 5
1 31 39
1 27 27
0 16 89
0 29 -48
0 15 -15
0 39 -94
0 36 19
0 11 -48
0 9 -34
1 8 12
0 24 -99
0 38 -60
1 1 5
1 18 27
1 29 37
1 8 10
1 29 39
0 10 -38
0 7 15
1 21 29
1 4 29
1 21 32
0 12 -47
0 17 55
1 18 32
1 7 27
1 14 38
1 10 22
0 9 -46
0 19 75
0 9 -42
0 35 35
0 24 -64
1 13 15
1 39 39
0 4 -16
0 21 -91
1 0 38
1 38 38
1 14 32
0 26 10
1 4 31
1 13 26
0 19 -69
1 0 5
0 37 -99
0 1 -12
1 19 23
1 38 38
1 24 35
1 13 17
0 6 -18
1 35 40
0 34 -9
0 6 83
0 10 37
0 11 72
1 20 32
1 23 39
1 30 40
0 20 25
1 6 36
0 11 -86
0 39 -89
0 17 54
1 18 29
0 16 72
1 36 40
0 26 -48
0 26 85
0 15 39
0 16 -63
0 29 -37
1 5 23
0 30 -38
1 35 39
1 34 40
0 23 -28
1 7 19
1 16 24
0 8 -70
0 36 -19
1 37 40
1 25 25
1 22 37
0 36 66
1 13 13
1 0 23
1 2 3
0 0 61
1 1 2
0 24 32
1 21 40
1 39 39
0 14 90
0 20 13
0 1 100
1 21 30
0 12 -77
1 6 13
1 36 40
0 35 -3
0 9 88
1 32 38
1 5 30
1 21 25
0 28 41
0 26 85
1 17 27
0 4 69
1 12 25
1 27 36
1 11 15
0 13 77
0 16 60
1 9 10
1 28 34
0 19 68
1 8 23
1 13 31
1 10 21
0 21 63
0 28 92
1 32 32
1 17 35
0 10 -57
0 38 79
1 12 27
1 36 37
1 8 10
0 14 -70
1 25 29
0 16 5
0 34 -89
0 20 -36
0 22 -2
0 34 67
1 1 7
1 6 31
1 31 38
1 9 20
1 10 36
1 20 38
1 35 38
1 39 39
0 5 -38
1 14 17
1 14 31
0 7 -64
0 10 -41
1 21 23
1 27 32
1 13 27
1 13 22
0 29 41
0 24 57
1 34 34
0 14 -43
1 14 24
0 28 -46
1 20 27
0 3 72
1 35 40
0 16 -45
1 17 36
1 0 39
